	x	y	scan1	scan2	boolean_x	boolean_y	combination
255	-18.28819277095881	-5.0	4045.0	2580.0	True	True	Both identifications are reported
256	-14.787812395596042	-13.385102783966865	4091.0	6910.0	True	True	Both identifications are reported
257	-19.33068311943389	-7.931814138253839	4119.0	2363.0	True	True	Both identifications are reported
258	-12.296708621881338	-5.0	4133.0	2580.0	True	True	Both identifications are reported
259	-4.91721462968355	-4.5934598195660445	4172.0	4920.0	True	True	Both identifications are reported
260	-4.853871964321762	-6.006123085058789	4176.0	2390.0	True	True	Both identifications are reported
261	-16.087777943467586	-7.146301788223826	4204.0	6206.0	True	True	Both identifications are reported
262	-6.876148359032914	-7.931814138253839	4205.0	2363.0	True	True	Both identifications are reported
263	-6.392544976785332	-7.931814138253839	4238.0	2363.0	True	True	Both identifications are reported
264	-5.772113295386326	-7.931814138253839	4245.0	2363.0	True	True	Both identifications are reported
265	-7.6777807052660805	-7.931814138253839	4252.0	2363.0	True	True	Both identifications are reported
266	-12.148741651280925	-7.2644011003018205	4275.0	7904.0	True	True	Both identifications are reported
267	-16.27490547891853	-4.5934598195660445	4308.0	4920.0	True	True	Both identifications are reported
268	-11.503070351926786	-8.665546248849068	4310.0	2139.0	True	True	Both identifications are reported
269	-5.2262135550188065	-6.006123085058789	4320.0	2390.0	True	True	Both identifications are reported
270	-8.126098402135538	-7.931814138253839	4336.0	2363.0	True	True	Both identifications are reported
271	-6.863279432843593	-6.006123085058789	4343.0	2390.0	True	True	Both identifications are reported
272	-5.614393726401688	-6.006123085058789	4351.0	2390.0	True	True	Both identifications are reported
273	-7.978810700930062	-7.2644011003018205	4409.0	7904.0	True	True	Both identifications are reported
274	-14.55129368009492	-8.274088367704952	4646.0	7364.0	True	True	Both identifications are reported
275	-12.366531544420413	-4.512861624522813	4688.0	2364.0	True	True	Both identifications are reported
276	-11.987162775294827	-6.1180450286604	4735.0	7435.0	True	True	Both identifications are reported
277	-15.090979145788843	-8.274088367704952	4742.0	7364.0	True	True	Both identifications are reported
278	-9.454692883534175	-11.01592296609717	4976.0	6152.0	True	True	Both identifications are reported
279	-9.892790030352131	-8.785156151952302	5002.0	5499.0	True	True	Both identifications are reported
280	-13.285670240254767	-8.312471038785366	5057.0	6214.0	True	True	Both identifications are reported
281	-19.568636235841012	-8.312471038785366	5071.0	6214.0	True	True	Both identifications are reported
282	-11.068033885271827	-6.642065152999546	5078.0	7354.0	True	True	Both identifications are reported
283	-14.041436116778032	-6.642065152999546	5086.0	7354.0	True	True	Both identifications are reported
284	-3.517709676787201	-7.295849483160201	5136.0	5652.0	True	False	Only one identification is reported
285	-3.8412141565565796	-7.295849483160201	5151.0	5652.0	True	True	Both identifications are reported
286	-4.377785977033705	-5.573488738635425	5188.0	4950.0	True	False	Only one identification is reported
287	-7.002176919254275	-10.774690718274137	5225.0	6238.0	True	True	Both identifications are reported
288	-13.610833915635467	-8.016824927962187	5242.0	2426.0	True	True	Both identifications are reported
289	-11.136677139879543	-8.016824927962187	5254.0	2426.0	True	True	Both identifications are reported
290	-3.0599862328347562	-7.295849483160201	5463.0	5652.0	True	True	Both identifications are reported
291	-12.471083299722345	-7.295849483160201	5481.0	5652.0	True	True	Both identifications are reported
